act,run,variant,row,fve_A,fve_B,fve_C,fve_D,cos_A_sae_orig_vs_orig,cos_B_ar_vs_orig,cos_C_sae_ar_vs_ar,cos_D_sae_ar_vs_orig,n_orig,n_ar,n_shared,n_lost,n_invented,jaccard,control_jaccard,weighted_kept,n_tokens,n_chars,split_method,activation_token_index,offset_into_response,cjk,untagged
0,0,full,0,0.655209,0.847135,0.769358,0.601608,0.994943,0.997758,0.996617,0.994156,143,123,88,55,35,0.494382,0.087649,0.772257,137,729,anchor,128,87,False,False
0,0,no_final,0,0.655209,0.463033,0.751596,0.336659,0.994943,0.992123,0.996357,0.990270,143,66,34,109,32,0.194286,0.043478,0.307273,64,371,anchor,128,87,False,False
0,0,final_only,0,0.655209,0.810262,0.749425,0.579141,0.994943,0.997217,0.996325,0.993827,143,120,82,61,38,0.453039,0.075697,0.728879,72,356,anchor,128,87,False,False
1,0,full,1,0.771495,0.838739,0.845899,0.719194,0.996648,0.997635,0.997740,0.995881,133,118,89,44,29,0.549383,0.035857,0.816067,134,674,anchor,411,393,False,False
1,0,no_final,1,0.771495,0.348991,0.802476,0.378422,0.996648,0.990452,0.997103,0.990883,133,63,20,113,43,0.113636,0.009852,0.236147,59,335,anchor,411,393,False,False
1,0,final_only,1,0.771495,0.752416,0.830633,0.666074,0.996648,0.996369,0.997516,0.995102,133,113,75,58,38,0.438596,0.045082,0.704816,74,337,anchor,411,393,False,False
2,0,full,2,0.675355,0.721497,0.764792,0.562272,0.995238,0.995915,0.996550,0.993579,179,124,79,100,45,0.352679,0.022124,0.559491,135,657,anchor,375,307,False,False
2,0,no_final,2,0.675355,0.632210,0.660540,0.440907,0.995238,0.994606,0.995021,0.991799,179,54,35,144,19,0.176768,0.018987,0.259894,60,325,anchor,375,307,False,False
2,0,final_only,2,0.675355,0.697822,0.794948,0.547613,0.995238,0.995568,0.996992,0.993365,179,108,68,111,40,0.310502,0.028708,0.509361,74,330,anchor,375,307,False,False
3,0,full,3,0.427399,0.726076,0.596417,0.315714,0.991601,0.995982,0.994080,0.989963,161,113,90,71,23,0.489130,0.005025,0.695877,136,697,anchor,265,242,False,False
3,0,no_final,3,0.427399,-0.464155,0.598317,-0.358762,0.991601,0.978524,0.994108,0.980070,161,62,11,150,51,0.051887,0.006757,0.118841,62,330,anchor,265,242,False,False
3,0,final_only,3,0.427399,0.523390,0.655645,0.201453,0.991601,0.993009,0.994950,0.988288,161,105,72,89,33,0.371134,0.005236,0.581980,73,365,anchor,265,242,False,False
4,0,full,4,0.806657,0.776461,0.847416,0.701635,0.997164,0.996721,0.997762,0.995623,105,89,57,48,32,0.416058,0.023041,0.745409,132,705,anchor,265,238,False,False
4,0,no_final,4,0.806657,0.245516,0.774575,0.292201,0.997164,0.988933,0.996694,0.989619,105,48,18,87,30,0.133333,0.000000,0.230021,60,348,anchor,265,238,False,False
4,0,final_only,4,0.806657,0.647926,0.835126,0.612942,0.997164,0.994836,0.997582,0.994323,105,78,45,60,33,0.326087,0.019324,0.657449,71,355,anchor,265,238,False,False
5,0,full,5,0.647326,0.793895,0.756883,0.566723,0.994827,0.996977,0.996434,0.993645,143,104,80,63,24,0.479042,0.023077,0.684108,131,639,anchor,449,427,False,False
5,0,no_final,5,0.647326,0.575222,0.640302,0.377303,0.994827,0.993770,0.994724,0.990866,143,54,37,106,17,0.231250,0.014085,0.337404,60,303,anchor,449,427,False,False
5,0,final_only,5,0.647326,0.699605,0.752296,0.503691,0.994827,0.995594,0.996367,0.992720,143,95,62,81,33,0.352273,0.023904,0.589405,70,334,anchor,449,427,False,False
6,0,full,6,0.648910,0.655150,0.773548,0.471460,0.994850,0.994942,0.996678,0.992247,87,87,56,31,31,0.474576,0.000000,0.674625,128,674,anchor,105,88,False,False
6,0,no_final,6,0.648910,0.069370,0.691187,0.048630,0.994850,0.986350,0.995470,0.986046,87,56,19,68,37,0.153226,0.049587,0.249604,48,279,anchor,105,88,False,False
6,0,final_only,6,0.648910,0.565854,0.803858,0.425196,0.994850,0.993632,0.997123,0.991569,87,77,49,38,28,0.426087,0.000000,0.615905,79,393,anchor,105,88,False,False
7,0,full,7,0.706439,0.892201,0.745249,0.666528,0.995694,0.998419,0.996264,0.995109,150,141,108,42,33,0.590164,0.009662,0.809592,132,675,anchor,376,361,False,False
7,0,no_final,7,0.706439,0.556071,0.652857,0.458487,0.995694,0.993489,0.994908,0.992057,150,75,38,112,37,0.203209,0.014184,0.331106,58,332,anchor,376,361,False,False
7,0,final_only,7,0.706439,0.822738,0.794784,0.636883,0.995694,0.997400,0.996990,0.994674,150,112,90,60,22,0.523256,0.011236,0.717213,73,341,anchor,376,361,False,False
8,0,full,8,0.538298,0.271128,0.729486,0.067400,0.993228,0.989309,0.996032,0.986321,85,70,48,37,22,0.448598,0.012270,0.756449,127,609,anchor,158,139,False,False
8,0,no_final,8,0.538298,-0.365568,0.790230,-0.421340,0.993228,0.979971,0.996924,0.979153,85,51,21,64,30,0.182609,0.020979,0.340213,52,270,anchor,158,139,False,False
8,0,final_only,8,0.538298,-0.152197,0.665903,-0.231800,0.993228,0.983100,0.995100,0.981933,85,58,32,53,26,0.288288,0.006579,0.543977,74,337,anchor,158,139,False,False
9,0,full,9,0.689839,0.902676,0.766077,0.673231,0.995450,0.998573,0.996569,0.995207,138,153,110,28,43,0.607735,0.038793,0.871693,133,686,anchor,120,90,False,False
9,0,no_final,9,0.689839,0.663864,0.748159,0.518696,0.995450,0.995070,0.996306,0.992941,138,80,60,78,20,0.379747,0.030675,0.560855,61,353,anchor,120,90,False,False
9,0,final_only,9,0.689839,0.816028,0.758569,0.619898,0.995450,0.997302,0.996459,0.994425,138,116,81,57,35,0.468208,0.025126,0.723482,71,331,anchor,120,90,False,False
10,0,full,10,0.897072,0.858452,0.911040,0.851814,0.998491,0.997924,0.998695,0.997827,110,111,70,40,41,0.463576,0.028302,0.788196,129,681,anchor,300,285,False,False
10,0,no_final,10,0.897072,0.484048,0.819211,0.667059,0.998491,0.992433,0.997348,0.995117,110,50,18,92,32,0.126761,0.006410,0.294476,47,262,anchor,300,285,False,False
10,0,final_only,10,0.897072,0.810379,0.908917,0.822885,0.998491,0.997219,0.998665,0.997403,110,102,56,54,46,0.358974,0.024510,0.697647,81,417,anchor,300,285,False,False
11,0,full,11,0.768310,0.539008,0.747447,0.406780,0.996602,0.993239,0.996296,0.991299,93,70,39,54,31,0.314516,0.009901,0.595814,133,684,anchor,506,258,False,False
11,0,no_final,11,0.768310,0.290587,0.781239,0.261211,0.996602,0.989595,0.996791,0.989164,93,58,25,68,33,0.198413,0.010526,0.302021,63,312,anchor,506,258,False,False
11,0,final_only,11,0.768310,0.324150,0.734611,0.317328,0.996602,0.990087,0.996108,0.989987,93,61,30,63,31,0.241935,0.015625,0.422788,69,370,anchor,506,258,False,False
12,0,full,12,0.395537,0.628665,0.615706,0.236388,0.991134,0.994553,0.994364,0.988800,74,75,48,26,27,0.475248,0.015789,0.741038,132,578,anchor,396,371,False,False
12,0,no_final,12,0.395537,0.154867,0.626397,0.016975,0.991134,0.987604,0.994520,0.985581,74,50,22,52,28,0.215686,0.005988,0.441744,60,299,anchor,396,371,False,False
12,0,final_only,12,0.395537,0.410732,0.635142,0.194061,0.991134,0.991357,0.994649,0.988179,74,70,41,33,29,0.398058,0.005348,0.718499,71,277,anchor,396,371,False,False
13,0,full,13,0.785367,0.884890,0.796809,0.746563,0.996852,0.998311,0.997020,0.996283,107,101,80,27,21,0.625000,0.028455,0.893175,136,704,anchor,408,379,False,False
13,0,no_final,13,0.785367,0.165700,0.774700,0.253991,0.996852,0.987763,0.996695,0.989058,107,56,14,93,42,0.093960,0.014634,0.169685,56,328,anchor,408,379,False,False
13,0,final_only,13,0.785367,0.789497,0.779557,0.702599,0.996852,0.996912,0.996766,0.995638,107,91,66,41,25,0.500000,0.025316,0.788502,79,374,anchor,408,379,False,False
14,0,full,14,0.778845,0.797197,0.855889,0.681360,0.996756,0.997026,0.997886,0.995327,122,102,65,57,37,0.408805,0.024490,0.691664,137,709,anchor,394,347,False,False
14,0,no_final,14,0.778845,0.647979,0.821137,0.572745,0.996756,0.994836,0.997377,0.993734,122,65,32,90,33,0.206452,0.014218,0.369529,63,334,anchor,394,347,False,False
14,0,final_only,14,0.778845,0.731575,0.820602,0.623281,0.996756,0.996063,0.997369,0.994475,122,87,52,70,35,0.331210,0.017241,0.498499,73,373,anchor,394,347,False,False
15,0,full,15,0.596367,0.756918,0.698492,0.514945,0.994080,0.996434,0.995578,0.992885,120,112,72,48,40,0.450000,0.048000,0.671435,133,691,anchor,417,396,False,False
15,0,no_final,15,0.596367,0.382966,0.638210,0.270586,0.994080,0.990950,0.994693,0.989301,120,60,28,92,32,0.184211,0.024390,0.281641,54,310,anchor,417,396,False,False
15,0,final_only,15,0.596367,0.608965,0.735514,0.451096,0.994080,0.994265,0.996121,0.991949,120,86,52,68,34,0.337662,0.058296,0.526756,78,379,anchor,417,396,False,False
16,0,full,16,0.734052,0.815059,0.803465,0.691007,0.996099,0.997287,0.997117,0.995468,114,108,74,40,34,0.500000,0.012448,0.812361,134,657,anchor,296,277,False,False
16,0,no_final,16,0.734052,0.137869,0.669210,0.243188,0.996099,0.987355,0.995149,0.988899,114,57,11,103,46,0.068750,0.015789,0.083757,55,308,anchor,296,277,False,False
16,0,final_only,16,0.734052,0.773472,0.821032,0.646144,0.996099,0.996677,0.997375,0.994810,114,112,62,52,50,0.378049,0.004049,0.737270,78,347,anchor,296,277,False,False
17,0,full,17,0.390788,0.837452,0.542143,0.349403,0.991065,0.997616,0.993285,0.990457,116,96,73,43,23,0.525180,0.008772,0.778194,130,629,anchor,125,106,False,False
17,0,no_final,17,0.390788,0.249201,0.502821,0.025584,0.991065,0.988988,0.992708,0.985708,116,78,30,86,48,0.182927,0.039216,0.355964,59,309,anchor,125,106,False,False
17,0,final_only,17,0.390788,0.744551,0.651549,0.325501,0.991065,0.996253,0.994889,0.990107,116,84,59,57,25,0.418440,0.009259,0.710859,70,318,anchor,125,106,False,False
18,0,full,18,0.737607,0.791029,0.818289,0.676398,0.996151,0.996935,0.997335,0.995254,90,80,58,32,22,0.517857,0.029412,0.818333,133,653,anchor,440,422,False,False
